"","X","Y","Z"
"1",586612.093298371,4514784.46863869,15
"2",586570.784591838,4514708.489673,15
"3",586532.785521849,4514638.10081323,15
"4",586494.772736645,4514568.82224586,15
"5",586455.954252743,4514496.20380115,15
"6",586415.486117019,4514420.23564244,15
"7",586373.342315137,4514343.13795544,15
"8",586336.170328151,4514273.87012764,15
"9",586297.296889183,4514205.69290674,15
"10",586260.12346106,4514136.42549736,15
"11",586220.456363163,4514063.79857423,15
"12",586184.930536722,4513997.88146875,15
"13",586146.105846591,4513925.26480705,15
"14",586108.942425921,4513854.88815388,15
"15",586070.921427612,4513785.61197149,15
"16",586034.61340265,4513714.13546312,15
"17",585994.046169429,4513645.94036917,15
"18",585957.64646504,4513582.23481007,15
"19",585984.943888632,4513484.8518745,15
"20",586068.118378099,4513445.8500728,15
"21",586164.250688362,4513381.46474718,15
"22",586297.559445158,4513314.18311946,15
"23",586408.056564189,4513248.85806453,15
"24",586538.058798152,4513175.99093318,15
"25",586679.918940901,4513099.93412565,15
"26",586716.263066346,4513168.08355165,15
"27",586754.294521337,4513236.25294965,15
"28",586793.156247018,4513305.54253012,15
"29",586831.173232443,4513374.82243621,15
"30",586867.48849251,4513445.19282983,15
"31",586905.490996004,4513515.58323149,15
"32",586943.492756224,4513585.97384718,15
"33",586982.350775829,4513655.26451457,15
"34",587019.5070938,4513725.6456434,15
"35",587056.675737242,4513794.91690005,15
"36",587094.687603026,4513864.19828961,15
"37",587132.685672592,4513934.5899706,15
"38",587172.29241642,4514011.6622067,15
"39",587213.599212956,4514087.64448262,15
"40",587250.751033951,4514158.02688768,15
"41",587290.420728317,4514229.54942878,15
"42",587330.089634953,4514301.07220245,15
"43",587367.252315812,4514370.34517109,15
