"","X","date","wx","wy"
"1",524221,"2009-12-31 01:00:00",-1.23165243194761,-3.38393724539244
"2",524222,"2009-12-31 01:01:00",-0.746732186571803,-2.99497921635972
"3",524223,"2009-12-31 01:02:00",-0.669946855515277,-1.94566694525218
"4",524224,"2009-12-31 01:03:00",-1.04621694152572,-2.34984172414837
"5",524225,"2009-12-31 01:04:00",-0.625326327996702,-3.54640183529599
"6",524226,"2009-12-31 01:05:00",0.215391516862621,-4.10991497463277
"7",524227,"2009-12-31 01:06:00",-0.215314963688474,-3.07914743578491
"8",524228,"2009-12-31 01:07:00",-0.143543309125649,-2.05276495718994
"9",524229,"2009-12-31 01:08:00",-0.0359131710327377,-2.05746419050445
"10",524230,"2009-12-31 01:09:00",-0.871187551000436,-3.49414241908634
"11",524231,"2009-12-31 01:10:00",-1.73442837767304,-4.29286087577068
"12",524232,"2009-12-31 01:11:00",-1.9321361314756,-3.63381955711804
"13",524233,"2009-12-31 01:12:00",-3.57363108595756,-3.70060331981337
"14",524234,"2009-12-31 01:13:00",-4.90074111158108,-2.8294442
"15",524235,"2009-12-31 01:14:00",-4.10853565784974,-3.09600368496442
"16",524236,"2009-12-31 01:15:00",-2.38462608081832,-3.96868425938386
"17",524237,"2009-12-31 01:16:00",-2.64542788954101,-3.15269819130941
"18",524238,"2009-12-31 01:17:00",-3.45159501699474,-2.24149201267908
"19",524239,"2009-12-31 01:18:00",-2.59042232386936,-2.5015417601703
"20",524240,"2009-12-31 01:19:00",-2.11667982011115,-2.91335983582716
"21",524241,"2009-12-31 01:20:00",-2.11667982011115,-2.91335983582716
"22",524242,"2009-12-31 01:21:00",-1.4491020986067,-2.72536466783853
"23",524243,"2009-12-31 01:22:00",-1.12758790793609,-2.31189781935974
"24",524244,"2009-12-31 01:23:00",-1.78681554297878,-1.85030165990669
"25",524245,"2009-12-31 01:24:00",-2.31189781935974,-1.12758790793609
"26",524246,"2009-12-31 01:25:00",-2.98545615613374,-2.01371560397186
"27",524247,"2009-12-31 01:26:00",-2.85890486876605,-2.9604826558507
"28",524248,"2009-12-31 01:27:00",-2.85890486876605,-2.9604826558507
"29",524249,"2009-12-31 01:28:00",-2.59042232386936,-2.5015417601703
"30",524250,"2009-12-31 01:29:00",-2.25744489730352,-2.10510142286002
"31",524251,"2009-12-31 01:30:00",-3.28682852627979,-2.47680294797153
"32",524252,"2009-12-31 01:31:00",-3.57363108595756,-3.70060331981337
"33",524253,"2009-12-31 01:32:00",-1.20327188970452,-3.9357250111884
"34",524254,"2009-12-31 01:33:00",-1.85760221097865,-2.46512139470984
"35",524255,"2009-12-31 01:34:00",-3.1186534346425,-1.8005554
